movie_id,title,release_date,genres,overview
19,Antonia's Line (1995),1/1/1995,Drama,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
20,Angels and Insects (1995),1/1/1995,Drama|Romance,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
21,Muppet Treasure Island (1996),16/2/1996,Action|Adventure|Comedy|Musical|Thriller,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
22,Braveheart (1995),16/2/1996,Action|Drama|War,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
23,Taxi Driver (1976),16/2/1996,Drama|Thriller,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
24,Rumble in the Bronx (1995),23/2/1996,Action|Adventure|Crime,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head."
25,"Birdcage, The (1996)",8/3/1996,Comedy,
26,"Brothers McMullen, The (1995)",1/1/1995,Comedy,
27,Bad Boys (1995),1/1/1995,Action,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other."
28,Apollo 13 (1995),1/1/1995,Action|Drama|Thriller,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
29,Batman Forever (1995),1/1/1995,Action|Adventure|Comedy|Crime,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin."
30,Belle de jour (1967),1/1/1967,Drama,
31,Crimson Tide (1995),1/1/1995,Drama|Thriller|War,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so."
32,Crumb (1994),1/1/1994,Documentary,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind."
33,Desperado (1995),1/1/1995,Action|Romance|Thriller,A gunslinger is embroiled in a war with a local drug runner.
34,"Doom Generation, The (1995)",1/1/1995,Comedy|Drama,
35,Free Willy 2: The Adventure Home (1995),1/1/1995,Adventure|Children's|Drama,
36,Mad Love (1995),1/1/1995,Drama|Romance,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided."
37,Nadja (1994),1/1/1994,Drama,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction."
38,"Net, The (1995)",1/1/1995,Sci-Fi|Thriller,
39,Strange Days (1995),1/1/1995,Action|Crime|Sci-Fi,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1/1/1995,Comedy,"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesn't mean they don't have humanity in common."
41,Billy Madison (1995),1/1/1995,Comedy,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business."
42,Clerks (1994),1/1/1994,Comedy,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives."
43,Disclosure (1994),1/1/1994,Drama|Thriller,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
44,Dolores Claiborne (1994),1/1/1994,Drama|Thriller,"Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story."
45,Eat Drink Man Woman (1994),1/1/1994,Comedy|Drama,"The film tells the story of a retired and widowed Chinese master chef Chu (Si Hung Lung) and his family living in modern day Taipei, Taiwan. At the start of the film, he lives with his three attractive daughters, all of whom are unattached. As the film progresses, each of the daughters encounters new men in their lives. When these new relationships blossom, the stereotypes are broken and the living situation within the family changes.. The film features several scenes displaying the techniques and artistry of gourmet Chinese cooking. Since the family members have difficulty expressing their love for each other, the intricate preparation of banquet quality dishes for their Sunday dinners is the surrogate for their familial feelings."
46,Exotica (1994),1/1/1994,Drama,"In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's owner, Zoe. Meanwhile Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives. Gradually, connections between the traumatic pasts of these characters are revealed."
47,Ed Wood (1994),1/1/1994,Comedy|Drama,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
48,Hoop Dreams (1994),1/1/1994,Documentary,"This documentary follows two inner-city Chicago residents, Arthur Agee and William Gates, as they follow their dreams of becoming basketball superstars. Beginning at the start of their high school years, and ending almost 5 years later, as they start college, we watch the boys mature into men, still retaining their ""Hoop Dreams""."
49,I.Q. (1994),1/1/1994,Comedy|Romance,Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.
50,Star Wars (1977),1/1/1977,Action|Adventure|Romance|Sci-Fi|War,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
51,Legends of the Fall (1994),1/1/1994,Drama|Romance|War|Western,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love."
52,"Madness of King George, The (1994)",1/1/1994,Drama,
53,Natural Born Killers (1994),1/1/1994,Action|Thriller,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
54,Outbreak (1995),1/1/1995,Action|Drama|Thriller,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House."
55,"Professional, The (1994)",1/1/1994,Crime|Drama|Romance|Thriller,
56,Pulp Fiction (1994),1/1/1994,Crime|Drama,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
57,Priest (1994),1/1/1994,Drama,"Father Greg Pilkington (Linus Roache) is torn between his call as a conservative Catholic priest and his secret life as a homosexual with a gay lover, frowned upon by the Church. Upon hearing the confession of a young girl of her incestuous father, Greg enters an intensely emotional spiritual struggle deciding between choosing morals over religion and one life over another."
58,Quiz Show (1994),1/1/1994,Drama,Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.
59,Three Colors: Red (1994),1/1/1994,Drama,Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.
60,Three Colors: Blue (1993),1/1/1993,Drama,A woman struggles to find a way to live her life after the death of her husband and child.
61,Three Colors: White (1994),1/1/1994,Drama,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland."
62,Stargate (1994),1/1/1994,Action|Adventure|Sci-Fi,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
63,"Santa Clause, The (1994)",1/1/1994,Children's|Comedy,
64,"Shawshank Redemption, The (1994)",1/1/1994,Drama,
65,What's Eating Gilbert Grape (1993),1/1/1993,Comedy|Drama,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life."
66,While You Were Sleeping (1995),1/1/1995,Comedy|Romance,"A love story built on a misunderstanding. A transit worker pulls commuter Peter off the tracks after he's mugged. But while he's in a coma, his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be."
67,Ace Ventura: Pet Detective (1994),1/1/1994,Comedy,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!"
68,"Crow, The (1994)",1/1/1994,Action|Romance|Thriller,
69,Forrest Gump (1994),1/1/1994,Comedy|Romance|War,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."
70,Four Weddings and a Funeral (1994),1/1/1994,Comedy|Romance,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.
71,"Lion King, The (1994)",1/1/1994,Animation|Children's|Musical,
72,"Mask, The (1994)",1/1/1994,Comedy|Crime|Fantasy,
73,Maverick (1994),1/1/1994,Action|Comedy|Western,"Maverick is a gambler who would rather con someone than fight them. He needs an additional three thousand dollars in order to enter a Winner Take All poker game that begins in a few days. He tries to win some, tries to collect a few debts, and recover a little loot for the reward. He joins forces with a woman gambler with a marvelous southern accent as the two both try and enter the game."
74,Faster Pussycat! Kill! Kill! (1965),1/1/1965,Action|Comedy|Drama,
75,Brother Minister: The Assassination of Malcolm X (1994),1/1/1994,Documentary,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ..."
76,Carlito's Way (1993),1/1/1993,Crime|Drama,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC."
77,"Firm, The (1993)",1/1/1993,Drama|Thriller,
78,Free Willy (1993),1/1/1993,Adventure|Children's|Drama,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them."
79,"Fugitive, The (1993)",1/1/1993,Action|Thriller,
80,Hot Shots! Part Deux (1993),1/1/1993,Action|Comedy|War,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm."
81,"Hudsucker Proxy, The (1994)",1/1/1994,Comedy|Romance,
82,Jurassic Park (1993),1/1/1993,Action|Adventure|Sci-Fi,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
83,Much Ado About Nothing (1993),1/1/1993,Comedy|Romance,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding."
84,Robert A. Heinlein's The Puppet Masters (1994),1/1/1994,Horror|Sci-Fi,
85,"Ref, The (1994)",1/1/1994,Comedy,
86,"Remains of the Day, The (1993)",1/1/1993,Drama,
87,Searching for Bobby Fischer (1993),1/1/1993,Drama,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.
88,Sleepless in Seattle (1993),1/1/1993,Comedy|Romance,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.
89,Blade Runner (1982),1/1/1982,Film-Noir|Sci-Fi,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
90,So I Married an Axe Murderer (1993),1/1/1993,Comedy|Romance|Thriller,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right."
91,"Nightmare Before Christmas, The (1993)",1/1/1993,Children's|Comedy|Musical,
92,True Romance (1993),1/1/1993,Action|Crime|Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it."
93,Welcome to the Dollhouse (1995),24/5/1996,Comedy|Drama,An unattractive 7th grader struggles to cope with suburban life as the middle child with un-attentive parents and bullies at school.
94,Home Alone (1990),1/1/1990,Children's|Comedy,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before."
95,Aladdin (1992),1/1/1992,Animation|Children's|Comedy|Musical,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land."
96,Terminator 2: Judgment Day (1991),1/1/1991,Action|Sci-Fi|Thriller,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah."
97,Dances with Wolves (1990),1/1/1990,Adventure|Drama|Western,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe."
98,"Silence of the Lambs, The (1991)",1/1/1991,Drama|Thriller,
99,Snow White and the Seven Dwarfs (1937),1/1/1937,Animation|Children's|Musical,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
100,Fargo (1996),14/2/1997,Crime|Drama|Thriller,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!"
101,Heavy Metal (1981),8/3/1981,Action|Adventure|Animation|Horror|Sci-Fi,"A glowing orb terrorizes a young girl with a collection of stories of dark fantasy, eroticism and horror."
102,"Aristocats, The (1970)",1/1/1970,Animation|Children's,
103,All Dogs Go to Heaven 2 (1996),29/3/1996,Animation|Children's|Musical,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home."
104,Theodore Rex (1995),29/3/1996,Comedy,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scientist bent on creating a new Armageddon."
105,Sgt. Bilko (1996),29/3/1996,Comedy,The army is known for churning out lean mean fighting machines intent on protecting our great nation. Martin is the inexplicable the incorrigible the invicible sgt. Ernie bilko leader of a ragtag group of the sorriest soldiers ever to enlist in the armed forces.
106,Diabolique (1996),1/1/1996,Drama|Thriller,"The wife and mistress of a cruel school master collaborate in a carefully planned and executed attempt to murder him. The plan goes well until the body, which has been strategically dumped, disappears. The strain starts to tell on the two women as a retired police investigator who is looking into the disappearance on a whim begins to think that they know more than they are telling, and their mental state is not helped when their victim is seen, apparently alive and well by one of the pupils."
107,Moll Flanders (1996),14/6/1996,Drama,"The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive priest lead Moll to rebel as a teenager, escaping to the dangerous streets of London. Further misfortunes drive her to accept a job as a prostitute from the conniving Mrs. Allworthy. It is there that Moll first meets Hibble, who is working as Allworthy's servant but takes a special interest in the young woman's well-being. With his help, she retains hope for the future, ultimately falling in love with an unconventional artist who promises the possibility of romantic happiness."
108,Kids in the Hall: Brain Candy (1996),12/4/1996,Comedy,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects."
109,Mystery Science Theater 3000: The Movie (1996),19/4/1996,Comedy|Sci-Fi,"The mad and evil scientist, Dr. Clayton Forrester, has created an evil little scheme that is bound to give him world global domination but first things first. He plans to torment Mike Nelson and the robots by sending them a real stinker of a film to watch called, ""This Island Earth."" He is convinced that this movie will drive them insane. Will this be the ultimate cheese that breaks the boys' spirits?"
110,Operation Dumbo Drop (1995),1/1/1995,Action|Adventure|Comedy|War,"Five Green Berets stationed in Vietnam in 1968 grudgingly undertake the mission of a lifetime -- to secretly transport an 8,000-pound elephant through 200 miles of rough jungle terrain. High jinks prevail when Capt. Sam Cahill promises the Montagnard villagers of Dak Nhe that he'll replace their prized elephant in time for an important ritual. But for Capt. T.C. Doyle, the mission becomes a jumbo-sized headache!"
111,"Truth About Cats & Dogs, The (1996)",26/4/1996,Comedy|Romance,
112,Flipper (1996),10/5/1996,Adventure|Children's,"Sandy Ricks is sent by his mom to Coral Key, a rustic island in the Florida keys, to spend the summer with his uncle Porter Ricks. Sandy dislikes everything about his new environment until a new friend comes into his life, a dolphin named Flipper, that brings uncle and nephew together and leads Sandy on the summer adventure of a lifetime."
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19/4/1996,Drama,
114,Wallace & Gromit: The Best of Aardman Animation (1996),5/4/1996,Animation,
115,"Haunted World of Edward D. Wood Jr., The (1995)",26/4/1996,Documentary,
116,Cold Comfort Farm (1995),23/4/1996,Comedy,"In this adaptation of the satirical British novel, Flora Poste, a plucky London society girl orphaned at age 19, finds a new home with some rough relatives, the Starkadders of Cold Comfort Farm. With a take-charge attitude and some encouragement from her mischievous friend, Mary, Flora changes the Starkadders' lives forever when she settles into their rustic estate, bringing the backward clan up to date and finding inspiration for her novel in the process."
117,"Rock, The (1996)",7/6/1996,Action|Adventure|Thriller,
118,Twister (1996),10/5/1996,Action|Adventure|Thriller,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados."
119,Maya Lin: A Strong Clear Vision (1994),1/1/1994,Documentary,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.
120,Striptease (1996),28/6/1996,Comedy|Crime,"Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder."
121,Independence Day (ID4) (1996),3/7/1996,Action|Sci-Fi|War,
122,"Cable Guy, The (1996)",14/6/1996,Comedy,
123,"Frighteners, The (1996)",19/7/1996,Comedy|Horror,
124,Lone Star (1996),21/6/1996,Drama|Mystery,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
125,Phenomenon (1996),29/6/1996,Drama|Romance,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis."
126,"Spitfire Grill, The (1996)",6/9/1996,Drama,
127,"Godfather, The (1972)",1/1/1972,Action|Crime|Drama,
128,Supercop (1992),26/7/1996,Action|Thriller,
129,Bound (1996),4/10/1996,Crime|Drama|Romance|Thriller,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser."
130,Kansas City (1996),16/8/1996,Crime,"Robert Altman's story is a riff on race, class, and power cross-cuts between the two kidnappings and the background of corrupt politics and virtuoso jazz music. It all takes place in Kansas City in 1934."
131,Breakfast at Tiffany's (1961),1/1/1961,Drama|Romance,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past."
132,"Wizard of Oz, The (1939)",1/1/1939,Adventure|Children's|Drama|Musical,
133,Gone with the Wind (1939),1/1/1939,Drama|Romance|War,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.
134,Citizen Kane (1941),1/1/1941,Drama,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
135,2001: A Space Odyssey (1968),1/1/1968,Drama|Mystery|Sci-Fi|Thriller,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
